twf_m0(185)=25+j-126, pre_bfly02(185)=-1354+j4184, index1_re(185)=8, index1_im(185)=8, bfly02(185)=-85+j261
twf_m0(186)=22+j-126, pre_bfly02(186)=-816+j-532, index1_re(186)=8, index1_im(186)=8, bfly02(186)=-51+j-34
twf_m0(187)=19+j-127, pre_bfly02(187)=-3818+j-4856, index1_re(187)=8, index1_im(187)=8, bfly02(187)=-239+j-304
twf_m0(188)=16+j-127, pre_bfly02(188)=-1136+j-7368, index1_re(188)=8, index1_im(188)=8, bfly02(188)=-71+j-461
twf_m0(189)=13+j-127, pre_bfly02(189)=-4473+j6087, index1_re(189)=8, index1_im(189)=8, bfly02(189)=-280+j380
twf_m0(190)=9+j-128, pre_bfly02(190)=-58+j-2834, index1_re(190)=8, index1_im(190)=8, bfly02(190)=-4+j-178
twf_m0(191)=6+j-128, pre_bfly02(191)=4674+j-1192, index1_re(191)=8, index1_im(191)=8, bfly02(191)=292+j-75
twf_m0(192)=3+j-128, pre_bfly02(192)=9145+j-2219, index1_re(192)=8, index1_im(192)=8, bfly02(192)=571+j-139
twf_m0(193)=128+j0, pre_bfly02(193)=-1024+j4480, index1_re(193)=8, index1_im(193)=8, bfly02(193)=-64+j280
twf_m0(194)=128+j-9, pre_bfly02(194)=-83+j649, index1_re(194)=8, index1_im(194)=8, bfly02(194)=-6+j40
twf_m0(195)=127+j-19, pre_bfly02(195)=5142+j3126, index1_re(195)=8, index1_im(195)=8, bfly02(195)=321+j195
twf_m0(196)=125+j-28, pre_bfly02(196)=14609+j3685, index1_re(196)=8, index1_im(196)=8, bfly02(196)=913+j230
twf_m0(197)=122+j-37, pre_bfly02(197)=-8853+j8147, index1_re(197)=8, index1_im(197)=8, bfly02(197)=-554+j509
twf_m0(198)=119+j-46, pre_bfly02(198)=-5142+j-1979, index1_re(198)=8, index1_im(198)=8, bfly02(198)=-322+j-124
twf_m0(199)=116+j-55, pre_bfly02(199)=3034+j-2291, index1_re(199)=8, index1_im(199)=8, bfly02(199)=189+j-144
twf_m0(200)=111+j-63, pre_bfly02(200)=669+j-6837, index1_re(200)=8, index1_im(200)=8, bfly02(200)=41+j-428
twf_m0(201)=106+j-71, pre_bfly02(201)=4038+j1902, index1_re(201)=8, index1_im(201)=8, bfly02(201)=252+j118
twf_m0(202)=101+j-79, pre_bfly02(202)=-6188+j-9160, index1_re(202)=8, index1_im(202)=8, bfly02(202)=-387+j-573
