jj=383, kk=253, dout(254)=-1+j0, indexsum=22
jj=384, kk=509, dout(510)=-6+j0, indexsum=10
jj=385, kk=3, dout(4)=-1+j0, indexsum=22
jj=386, kk=259, dout(260)=-2+j-1, indexsum=10
jj=387, kk=131, dout(132)=-1+j0, indexsum=22
jj=388, kk=387, dout(388)=-3+j-1, indexsum=20
jj=389, kk=67, dout(68)=-1+j0, indexsum=22
jj=390, kk=323, dout(324)=2+j-1, indexsum=19
jj=391, kk=195, dout(196)=-1+j0, indexsum=22
jj=392, kk=451, dout(452)=3+j-5, indexsum=19
jj=393, kk=35, dout(36)=-1+j0, indexsum=22
jj=394, kk=291, dout(292)=-3+j-2, indexsum=19
jj=395, kk=163, dout(164)=-1+j0, indexsum=22
jj=396, kk=419, dout(420)=4+j-1, indexsum=19
jj=397, kk=99, dout(100)=-1+j0, indexsum=22
jj=398, kk=355, dout(356)=-5+j0, indexsum=19
jj=399, kk=227, dout(228)=-1+j0, indexsum=22
jj=400, kk=483, dout(484)=3+j-1, indexsum=18
jj=401, kk=19, dout(20)=-1+j0, indexsum=22
jj=402, kk=275, dout(276)=-7+j-2, indexsum=18
jj=403, kk=147, dout(148)=-1+j0, indexsum=22
jj=404, kk=403, dout(404)=3+j-1, indexsum=19
jj=405, kk=83, dout(84)=-1+j0, indexsum=22
jj=406, kk=339, dout(340)=-1+j0, indexsum=20
jj=407, kk=211, dout(212)=-1+j0, indexsum=22
jj=408, kk=467, dout(468)=0+j2, indexsum=19
jj=409, kk=51, dout(52)=-1+j0, indexsum=22
jj=410, kk=307, dout(308)=-2+j2, indexsum=19
jj=411, kk=179, dout(180)=-1+j0, indexsum=22
jj=412, kk=435, dout(436)=-1+j0, indexsum=19
jj=413, kk=115, dout(116)=-1+j0, indexsum=22
jj=414, kk=371, dout(372)=1+j-2, indexsum=20
jj=415, kk=243, dout(244)=-1+j0, indexsum=22
jj=416, kk=499, dout(500)=1+j-1, indexsum=19
jj=417, kk=11, dout(12)=-1+j0, indexsum=22
jj=418, kk=267, dout(268)=4+j-1, indexsum=19
jj=419, kk=139, dout(140)=-1+j0, indexsum=22
jj=420, kk=395, dout(396)=1+j0, indexsum=20
jj=421, kk=75, dout(76)=-1+j0, indexsum=22
jj=422, kk=331, dout(332)=-2+j0, indexsum=19
jj=423, kk=203, dout(204)=-1+j0, indexsum=22
jj=424, kk=459, dout(460)=-2+j0, indexsum=19
jj=425, kk=43, dout(44)=-1+j0, indexsum=22
jj=426, kk=299, dout(300)=-2+j-2, indexsum=19
jj=427, kk=171, dout(172)=-1+j0, indexsum=22
jj=428, kk=427, dout(428)=-3+j0, indexsum=20
jj=429, kk=107, dout(108)=-1+j0, indexsum=22
jj=430, kk=363, dout(364)=-3+j-1, indexsum=19
jj=431, kk=235, dout(236)=-1+j0, indexsum=22
jj=432, kk=491, dout(492)=-7+j1, indexsum=18
jj=433, kk=27, dout(28)=-1+j0, indexsum=22
jj=434, kk=283, dout(284)=0+j-2, indexsum=18
jj=435, kk=155, dout(156)=-1+j0, indexsum=22
jj=436, kk=411, dout(412)=1+j-1, indexsum=19
jj=437, kk=91, dout(92)=-1+j0, indexsum=22
jj=438, kk=347, dout(348)=1+j-1, indexsum=19
jj=439, kk=219, dout(220)=-1+j0, indexsum=22
jj=440, kk=475, dout(476)=0+j2, indexsum=19
jj=441, kk=59, dout(60)=-1+j0, indexsum=22
jj=442, kk=315, dout(316)=4+j0, indexsum=18
jj=443, kk=187, dout(188)=-1+j0, indexsum=22
jj=444, kk=443, dout(444)=-1+j-1, indexsum=19
jj=445, kk=123, dout(124)=-1+j0, indexsum=22
jj=446, kk=379, dout(380)=-1+j0, indexsum=20
jj=447, kk=251, dout(252)=-1+j0, indexsum=22
jj=448, kk=507, dout(508)=-2+j6, indexsum=10
jj=449, kk=7, dout(8)=-1+j0, indexsum=22
jj=450, kk=263, dout(264)=-1+j1, indexsum=10
jj=451, kk=135, dout(136)=-1+j0, indexsum=22
jj=452, kk=391, dout(392)=1+j-1, indexsum=20
jj=453, kk=71, dout(72)=-1+j0, indexsum=22
jj=454, kk=327, dout(328)=-1+j0, indexsum=19
jj=455, kk=199, dout(200)=-1+j0, indexsum=22
jj=456, kk=455, dout(456)=4+j-2, indexsum=19
jj=457, kk=39, dout(40)=-1+j0, indexsum=22
jj=458, kk=295, dout(296)=1+j-1, indexsum=19
jj=459, kk=167, dout(168)=-1+j0, indexsum=22
jj=460, kk=423, dout(424)=0+j0, indexsum=19
jj=461, kk=103, dout(104)=-1+j0, indexsum=22
jj=462, kk=359, dout(360)=-2+j-1, indexsum=19
jj=463, kk=231, dout(232)=-1+j0, indexsum=22
jj=464, kk=487, dout(488)=0+j1, indexsum=18
jj=465, kk=23, dout(24)=-1+j0, indexsum=22
jj=466, kk=279, dout(280)=-5+j-2, indexsum=18
jj=467, kk=151, dout(152)=-1+j0, indexsum=22
jj=468, kk=407, dout(408)=-2+j-2, indexsum=19
jj=469, kk=87, dout(88)=-1+j0, indexsum=22
jj=470, kk=343, dout(344)=0+j-2, indexsum=20
jj=471, kk=215, dout(216)=-1+j0, indexsum=22
jj=472, kk=471, dout(472)=2+j-2, indexsum=19
jj=473, kk=55, dout(56)=-1+j0, indexsum=22
jj=474, kk=311, dout(312)=1+j2, indexsum=19
jj=475, kk=183, dout(184)=-1+j0, indexsum=22
jj=476, kk=439, dout(440)=-3+j0, indexsum=19
jj=477, kk=119, dout(120)=-1+j0, indexsum=22
jj=478, kk=375, dout(376)=-4+j1, indexsum=20
jj=479, kk=247, dout(248)=-1+j0, indexsum=22
jj=480, kk=503, dout(504)=-2+j0, indexsum=19
jj=481, kk=15, dout(16)=-1+j0, indexsum=22
jj=482, kk=271, dout(272)=1+j1, indexsum=19
