jj=253, kk=126, dout(127)=-190+j-33, indexsum=14
jj=254, kk=382, dout(383)=69+j-36, indexsum=14
jj=255, kk=254, dout(255)=-242+j51, indexsum=13
jj=256, kk=510, dout(511)=87+j61, indexsum=13
jj=257, kk=1, dout(2)=83+j80, indexsum=11
jj=258, kk=257, dout(258)=-155+j-83, indexsum=14
jj=259, kk=129, dout(130)=1+j-7, indexsum=14
jj=260, kk=385, dout(386)=-52+j28, indexsum=14
jj=261, kk=65, dout(66)=94+j7, indexsum=14
jj=262, kk=321, dout(322)=21+j161, indexsum=13
jj=263, kk=193, dout(194)=8+j-101, indexsum=13
jj=264, kk=449, dout(450)=-58+j-3, indexsum=13
jj=265, kk=33, dout(34)=-66+j-9, indexsum=14
jj=266, kk=289, dout(290)=-97+j48, indexsum=14
jj=267, kk=161, dout(162)=45+j-79, indexsum=14
jj=268, kk=417, dout(418)=74+j-83, indexsum=14
jj=269, kk=97, dout(98)=-34+j77, indexsum=14
jj=270, kk=353, dout(354)=-112+j60, indexsum=13
jj=271, kk=225, dout(226)=-115+j36, indexsum=13
jj=272, kk=481, dout(482)=-81+j-76, indexsum=13
jj=273, kk=17, dout(18)=13+j-124, indexsum=13
jj=274, kk=273, dout(274)=79+j57, indexsum=14
jj=275, kk=145, dout(146)=-156+j104, indexsum=14
jj=276, kk=401, dout(402)=-3+j79, indexsum=13
jj=277, kk=81, dout(82)=-138+j38, indexsum=13
jj=278, kk=337, dout(338)=116+j-29, indexsum=14
jj=279, kk=209, dout(210)=103+j12, indexsum=14
jj=280, kk=465, dout(466)=-20+j-47, indexsum=14
jj=281, kk=49, dout(50)=-62+j13, indexsum=14
jj=282, kk=305, dout(306)=6+j143, indexsum=14
jj=283, kk=177, dout(178)=16+j109, indexsum=14
jj=284, kk=433, dout(434)=-45+j31, indexsum=14
jj=285, kk=113, dout(114)=-59+j-34, indexsum=14
jj=286, kk=369, dout(370)=18+j-16, indexsum=14
jj=287, kk=241, dout(242)=-53+j-37, indexsum=13
jj=288, kk=497, dout(498)=95+j78, indexsum=14
jj=289, kk=9, dout(10)=-34+j-13, indexsum=13
