sig_pow(ii)=78.106545, noise_pow(ii)=0.007386
sig_pow(ii)=167.176952, noise_pow(ii)=0.028748
sig_pow(ii)=48.319197, noise_pow(ii)=0.033986
sig_pow(ii)=108.556511, noise_pow(ii)=0.003348
sig_pow(ii)=95.861296, noise_pow(ii)=0.013345
sig_pow(ii)=198.511758, noise_pow(ii)=0.017965
sig_pow(ii)=132.466821, noise_pow(ii)=0.016505
sig_pow(ii)=13.326656, noise_pow(ii)=0.017675
sig_pow(ii)=51.236254, noise_pow(ii)=0.007016
sig_pow(ii)=45.880094, noise_pow(ii)=0.002804
sig_pow(ii)=87.062541, noise_pow(ii)=0.021312
sig_pow(ii)=78.877076, noise_pow(ii)=0.014973
sig_pow(ii)=100.165673, noise_pow(ii)=0.026219
sig_pow(ii)=57.616111, noise_pow(ii)=0.002028
sig_pow(ii)=63.097415, noise_pow(ii)=0.017198
sig_pow(ii)=1.857881, noise_pow(ii)=0.021842
sig_pow(ii)=43.138920, noise_pow(ii)=0.022344
sig_pow(ii)=50.753811, noise_pow(ii)=0.009502
sig_pow(ii)=103.170550, noise_pow(ii)=0.038853
sig_pow(ii)=98.115037, noise_pow(ii)=0.022226
sig_pow(ii)=58.432153, noise_pow(ii)=0.059077
