sig_pow(ii)=27.732131, noise_pow(ii)=0.034378
sig_pow(ii)=109.151111, noise_pow(ii)=0.022441
sig_pow(ii)=6.452473, noise_pow(ii)=0.159513
sig_pow(ii)=139.300284, noise_pow(ii)=0.010928
sig_pow(ii)=8.036544, noise_pow(ii)=0.117305
sig_pow(ii)=60.175616, noise_pow(ii)=0.005552
sig_pow(ii)=243.692823, noise_pow(ii)=0.072622
sig_pow(ii)=123.830441, noise_pow(ii)=8.000000
sig_pow(ii)=12.575118, noise_pow(ii)=0.044093
sig_pow(ii)=5.633672, noise_pow(ii)=0.037524
sig_pow(ii)=140.895816, noise_pow(ii)=0.000612
sig_pow(ii)=7.317067, noise_pow(ii)=0.115034
sig_pow(ii)=73.764500, noise_pow(ii)=0.066961
sig_pow(ii)=14.167635, noise_pow(ii)=0.017654
sig_pow(ii)=124.380087, noise_pow(ii)=0.007189
sig_pow(ii)=3.416059, noise_pow(ii)=0.047866
sig_pow(ii)=24.263271, noise_pow(ii)=0.017886
sig_pow(ii)=93.660926, noise_pow(ii)=0.053757
sig_pow(ii)=51.946070, noise_pow(ii)=0.003231
sig_pow(ii)=84.821981, noise_pow(ii)=0.033039
sig_pow(ii)=193.506731, noise_pow(ii)=0.004468
sig_pow(ii)=28.050565, noise_pow(ii)=0.014203
sig_pow(ii)=177.063672, noise_pow(ii)=0.074838
sig_pow(ii)=1.782153, noise_pow(ii)=0.006542
sig_pow(ii)=458.322201, noise_pow(ii)=0.013090
sig_pow(ii)=15.763382, noise_pow(ii)=0.020125
sig_pow(ii)=114.149351, noise_pow(ii)=0.038893
sig_pow(ii)=34.656977, noise_pow(ii)=0.012383
sig_pow(ii)=59.552443, noise_pow(ii)=0.123447
sig_pow(ii)=129.707818, noise_pow(ii)=0.023118
sig_pow(ii)=12.968198, noise_pow(ii)=0.063439
sig_pow(ii)=4.428361, noise_pow(ii)=0.003008
sig_pow(ii)=219.778903, noise_pow(ii)=0.017352
sig_pow(ii)=61.033529, noise_pow(ii)=0.055621
sig_pow(ii)=184.761327, noise_pow(ii)=0.027836
sig_pow(ii)=17.119646, noise_pow(ii)=0.026586
sig_pow(ii)=26.803583, noise_pow(ii)=0.045186
sig_pow(ii)=131.482291, noise_pow(ii)=0.011785
sig_pow(ii)=72.455619, noise_pow(ii)=0.028844
sig_pow(ii)=45.887299, noise_pow(ii)=0.020166
sig_pow(ii)=28.675972, noise_pow(ii)=0.037839
sig_pow(ii)=39.951824, noise_pow(ii)=0.062236
